NAME	DESCRIPTION	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_experimental	/Users/mac9/Downloads/BL6_2_normal_thymus-VS-m084_tumor_thymus.PossionDis_Method.GeneDiffExp.xls_control
OPRK1	na	40.59	0.01
SIAH3	na	7.52	0.01
PEG10	na	50.88	0.07
HIST2H2AA2	na	5.72	0.01
TAT	na	35.19	0.07
LRRC10B	na	12.51	0.03
ATF7IP2	na	3.59	0.01
1700023C21RIK	na	3.55	0.01
SALL3	na	3.39	0.01
GM35978	na	3.13	0.01
UCN2	na	3.02	0.01
PRSS21	na	2.86	0.01
D830013O20RIK	na	2.78	0.01
FGF8	na	2.54	0.01
SNORA30	na	2.51	0.01
RSC1A1	na	2.43	0.01
IL17F	na	2.25	0.01
FAXC	na	29.04	0.13
GM6093	na	2.06	0.01
HIST2H3C1	na	2.04	0.01
ILTIFB	na	1.99	0.01
4930465M20RIK	na	1.95	0.01
GPR156	na	5.66	0.03
1700042O10RIK	na	1.87	0.01
WISP1	na	16.44	0.09
KANK4	na	16.23	0.09
GM5441	na	1.79	0.01
SERTAD4	na	196.04	1.12
DIO3	na	1.68	0.01
CYM	na	37.31	0.23
OLFR1373	na	1.61	0.01
1700065J18RIK	na	1.5	0.01
PTX3	na	4.49	0.03
D430041D05RIK	na	23.89	0.16
INSL3	na	1.45	0.01
SPSB4	na	7.23	0.05
GM7616	na	1.36	0.01
SGIP1	na	66.69	0.5
PROK2	na	1.3	0.01
4930572O13RIK	na	1.29	0.01
E330017L17RIK	na	1.28	0.01
1700019B03RIK	na	1.18	0.01
PLAGL1	na	153.49	1.36
GM3448	na	1.12	0.01
OLFR523	na	1.1	0.01
BC005561	na	1.09	0.01
SYT16	na	1.08	0.01
TCEAL3	na	110.0	1.02
TULP1	na	1.07	0.01
ZCCHC18	na	43.93	0.43
ELAVL4	na	2.92	0.03
VMN2R1	na	0.97	0.01
TMC7	na	1.89	0.02
GPR17	na	2.79	0.03
NCAM1	na	18.59	0.2
CCDC7B	na	0.89	0.01
GM266	na	48.61	0.56
SCRT1	na	0.85	0.01
4930549G23RIK	na	0.83	0.01
4933401B06RIK	na	0.83	0.01
SLC6A13	na	124.98	1.55
NR2E3	na	0.8	0.01
IRGC1	na	6.31	0.08
HYMAI	na	0.75	0.01
AI463170	na	0.7	0.01
MAP7D2	na	0.7	0.01
ALDH3A1	na	41.79	0.6
ANKK1	na	0.69	0.01
USP51	na	0.69	0.01
TMED6	na	0.69	0.01
GSPT2	na	21.84	0.32
1700105P06RIK	na	0.66	0.01
9230116L04RIK	na	0.66	0.01
EQTN	na	4.59	0.07
CTGF	na	44.54	0.68
LMOD2	na	0.65	0.01
CXCL5	na	0.64	0.01
TMSB15A	na	0.63	0.01
GM13278	na	0.62	0.01
BAALC	na	0.61	0.01
DUSP9	na	13.67	0.23
FBN2	na	0.59	0.01
GM17066	na	0.59	0.01
VWCE	na	31.67	0.54
SLC5A7	na	0.58	0.01
PPP1R3FOS	na	0.58	0.01
H2-T3	na	42.71	0.74
1700012B07RIK	na	1.71	0.03
ESX1	na	0.56	0.01
SPP1	na	97.83	1.75
CDH22	na	10.61	0.19
DMBT1	na	10.56	0.19
ZDHHC25	na	0.54	0.01
TRPC2	na	0.54	0.01
BST1	na	132.4	2.52
CYP27B1	na	0.52	0.01
SERPINA1C	na	0.52	0.01
UPK3BL	na	1.55	0.03
2210404E10RIK	na	0.51	0.01
MUP14	na	0.51	0.01
CRNDE	na	8.97	0.18
OLFR920	na	0.49	0.01
4931423N10RIK	na	0.49	0.01
CADM4	na	83.77	1.74
GM3417	na	0.48	0.01
9030612E09RIK	na	0.48	0.01
OLFR1065	na	0.46	0.01
